fecha,ENTIDAD,Region,PRECIPITACION,MINIMA,MEDIA,MAXIMA,LATITUD,LONGITUD,ALTITUD,SolarRad,SO_2,CO,NOx,PM_010,lluvia_binaria,radiacion_lag1,pm_media_estado,rango_termico
2006-01-01,Baja California,Norte,2.8,5.8,12.7,19.7,0.0,0.0,0.0,0.0,161.10037843454137,10162.258029979508,2277.026192024429,976.9159937305135,1,0.0,978.35155,13.899999999999999
2006-01-01,Chiapas,Sur,78.4,17.5,23.7,29.9,0.0,0.0,0.0,0.0,35.18296177069356,929.5101884680679,304.0495157270676,91.81148706195948,1,0.0,91.90223896103896,12.399999999999999
2006-01-01,Chihuahua,Norte,1.7,1.8,10.2,18.6,0.0,0.0,0.0,0.0,78.49114751089384,2257.6696708879526,338.74188197774845,194.37356493542416,1,0.0,194.79183406113535,16.8
2006-01-01,Ciudad de México,Centro,2.2,7.5,14.8,22.0,0.0,0.0,0.0,0.0,21.841510769052302,4750.2017162590555,809.7049770790214,173.29243928281733,1,0.0,173.13178125000002,14.5
2006-01-01,Guanajuato,Centro,23.8,6.0,15.5,25.1,0.0,0.0,0.0,0.0,109.78596947497012,770.9179099382864,1735.5039492674875,187.56670605031053,1,0.0,187.60040490797545,19.1
2006-01-01,Jalisco,Bajio-Occidente,2.3,8.3,16.9,25.6,0.0,0.0,0.0,0.0,32.37961874523364,1167.197960211566,292.968604686167,137.47415983826343,1,0.0,137.5469667405765,17.3
2006-01-01,Michoacán,Bajio-Occidente,15.6,8.4,17.4,26.5,0.0,0.0,0.0,0.0,38.89976680890465,1377.7040324350683,295.24391032853794,98.19663691766581,1,0.0,98.21588858695652,18.1
2006-01-01,Nuevo León,Norte,2.1,6.2,13.5,20.9,0.0,0.0,0.0,0.0,88.05606983584222,1343.4007052308293,501.00633922231884,145.58639426539992,1,0.0,145.598510989011,14.7
2006-01-01,Oaxaca,Sur,40.0,16.3,22.6,29.0,0.0,0.0,0.0,0.0,57.11731312457083,143.00579697993012,78.9768706195565,17.8516879405167,1,0.0,17.82831870669746,12.7
2006-01-01,Puebla,Centro,29.8,7.9,15.3,22.7,0.0,0.0,0.0,0.0,12.259137358999984,482.7508317135789,171.12724892148196,46.70370968186887,1,0.0,46.65697376093295,14.799999999999999
2006-01-01,Sinaloa,Bajio-Occidente,1.7,10.3,18.9,27.5,0.0,0.0,0.0,0.0,822.1650617307662,3847.647033404486,682.4999117954668,478.7992171004694,1,0.0,478.0439365079365,17.2
2006-01-01,Sonora,Norte,0.5,4.7,13.3,22.0,0.0,0.0,0.0,0.0,86.65038330757785,1012.0876860136317,242.83979289116195,219.95624081077395,0,0.0,219.87283613445376,17.3
2006-01-01,Tamaulipas,Norte,2.4,10.5,16.8,23.1,0.0,0.0,0.0,0.0,428.24399580960585,2035.3160293469612,511.09972174803465,264.6615395309844,1,0.0,265.04471830985915,12.600000000000001
2006-01-01,Veracruz,Sur,59.0,14.5,19.3,24.1,0.0,0.0,0.0,0.0,169.5187221868165,679.2695042710491,271.0460316977564,120.78358665519667,1,0.0,120.55729678362572,9.600000000000001
2006-01-01,Yucatán,Sureste,50.1,17.9,23.7,29.5,0.0,0.0,0.0,0.0,25.25627958416683,490.5254796326112,164.31586909441864,28.409085776859857,1,0.0,28.44607826086956,11.600000000000001
2006-02-01,Baja California,Norte,16.4,7.4,14.4,21.4,0.0,0.0,0.0,815734.8,161.10034834032092,10158.130182570445,2278.85066731792,977.3484305406193,1,0.0,978.35155,13.999999999999998
2006-02-01,Chiapas,Sur,47.3,17.0,24.1,31.3,0.0,0.0,0.0,815734.8,35.22826007210806,929.942155393956,303.8588875578618,91.88818695336711,1,0.0,91.90223896103896,14.3
2006-02-01,Chihuahua,Norte,1.2,3.6,13.0,22.5,0.0,0.0,0.0,815734.8,78.34924517301702,2259.955836058902,338.30670146482436,194.8640823749858,1,0.0,194.79183406113535,18.9
2006-02-01,Ciudad de México,Centro,1.2,9.1,16.4,23.7,0.0,0.0,0.0,815734.8,21.82269815034612,4749.396195126308,810.294853546031,173.09935870859104,1,0.0,173.13178125000002,14.6
2006-02-01,Guanajuato,Centro,0.1,8.8,18.1,27.4,0.0,0.0,0.0,815734.8,109.85109045628982,771.3579673167211,1734.4068362718847,187.75651509103204,0,0.0,187.60040490797545,18.599999999999998
2006-02-01,Jalisco,Bajio-Occidente,0.0,9.7,19.2,28.6,0.0,0.0,0.0,815734.8,32.37402753176847,1168.71892716538,292.890711595429,137.7037339002409,0,0.0,137.5469667405765,18.900000000000002
2006-02-01,Michoacán,Bajio-Occidente,0.1,9.6,18.9,28.2,0.0,0.0,0.0,815734.8,39.008331763035805,1380.3480282409646,295.28053294972926,98.17482687687612,0,0.0,98.21588858695652,18.6
2006-02-01,Nuevo León,Norte,8.6,8.3,16.1,23.9,0.0,0.0,0.0,815734.8,88.2247028693735,1341.001686793366,500.9448946601486,145.28543518376853,1,0.0,145.598510989011,15.599999999999998
2006-02-01,Oaxaca,Sur,5.0,16.6,23.2,29.9,0.0,0.0,0.0,815734.8,57.04987108304752,143.12773264549304,78.85246921675407,17.8495060255992,1,0.0,17.82831870669746,13.299999999999997
2006-02-01,Puebla,Centro,35.0,7.9,16.3,24.8,0.0,0.0,0.0,815734.8,12.230310110843162,483.2108276306633,171.19623436440472,46.683662149230535,1,0.0,46.65697376093295,16.9
2006-02-01,Sinaloa,Bajio-Occidente,0.0,11.5,20.9,30.3,0.0,0.0,0.0,815734.8,820.9211923669368,3835.6506671411853,683.2016977703781,477.7522521403239,0,0.0,478.0439365079365,18.8
2006-02-01,Sonora,Norte,1.7,6.7,16.1,25.4,0.0,0.0,0.0,815734.8,86.5867631911558,1012.818651065493,242.90675484334912,220.14500010064503,1,0.0,219.87283613445376,18.7
2006-02-01,Tamaulipas,Norte,2.6,12.1,18.7,25.3,0.0,0.0,0.0,815734.8,427.3347189047044,2034.6689105866576,511.79244711861065,265.0109105376286,1,0.0,265.04471830985915,13.200000000000001
2006-02-01,Veracruz,Sur,31.1,14.9,20.3,25.6,0.0,0.0,0.0,815734.8,169.5696738193679,679.2272476590948,270.44830043438003,120.35831915568366,1,0.0,120.55729678362572,10.700000000000001
2006-02-01,Yucatán,Sureste,1.2,17.8,24.1,30.3,0.0,0.0,0.0,815734.8,25.244114872890577,490.81771250665355,164.08461967683397,28.39926413115788,1,0.0,28.44607826086956,12.5
2006-03-01,Baja California,Norte,48.0,8.3,15.4,22.4,0.0,0.0,0.0,1027912.1,161.48195569040885,10155.42132750844,2281.121345160603,978.9645703164915,1,815734.8,978.35155,14.099999999999998
2006-03-01,Chiapas,Sur,32.2,18.3,25.2,32.2,0.0,0.0,0.0,1027912.1,35.26816322895683,929.9928879319561,303.6848179068246,91.94708524016058,1,815734.8,91.90223896103896,13.900000000000002
2006-03-01,Chihuahua,Norte,7.4,6.2,16.1,26.1,0.0,0.0,0.0,1027912.1,78.394817267339,2258.228207003615,339.2030685851765,195.0970135511272,1,815734.8,194.79183406113535,19.900000000000002
2006-03-01,Ciudad de México,Centro,11.8,9.6,17.6,25.6,0.0,0.0,0.0,1027912.1,21.79795915230938,4748.784404105712,809.2842243988483,173.51589814791552,1,815734.8,173.13178125000002,16.0
2006-03-01,Guanajuato,Centro,3.5,10.2,19.9,29.7,0.0,0.0,0.0,1027912.1,109.73222234636702,771.166295181609,1736.1932300777887,187.6921143226744,1,815734.8,187.60040490797545,19.5
2006-03-01,Jalisco,Bajio-Occidente,0.4,11.6,21.3,30.9,0.0,0.0,0.0,1027912.1,32.39201067110048,1167.5318164433372,292.9612656471462,137.36981115189752,0,815734.8,137.5469667405765,19.299999999999997
2006-03-01,Michoacán,Bajio-Occidente,2.9,10.9,20.7,30.4,0.0,0.0,0.0,1027912.1,38.9389713894003,1379.0463612665749,294.7972766613857,98.19257270609293,1,815734.8,98.21588858695652,19.5
2006-03-01,Nuevo León,Norte,14.9,13.5,21.1,28.7,0.0,0.0,0.0,1027912.1,88.2383290231809,1341.6018064548769,499.9141323645502,145.65073163220143,1,815734.8,145.598510989011,15.2
2006-03-01,Oaxaca,Sur,4.9,18.1,25.4,32.8,0.0,0.0,0.0,1027912.1,57.15896122914048,142.96632518724283,79.03009245616192,17.83309134111809,1,815734.8,17.82831870669746,14.699999999999996
2006-03-01,Puebla,Centro,28.0,8.2,17.0,25.9,0.0,0.0,0.0,1027912.1,12.246513478501354,483.26999699604096,171.5864882671054,46.65360430061664,1,815734.8,46.65697376093295,17.7
2006-03-01,Sinaloa,Bajio-Occidente,1.3,11.9,22.1,32.3,0.0,0.0,0.0,1027912.1,820.7663790168593,3846.450416586644,684.3279222333372,478.68292974400725,1,815734.8,478.0439365079365,20.4
2006-03-01,Sonora,Norte,2.4,8.7,18.6,28.5,0.0,0.0,0.0,1027912.1,86.54731058754581,1013.2886118860993,242.38825546434833,220.1825275744693,1,815734.8,219.87283613445376,19.8
2006-03-01,Tamaulipas,Norte,23.1,16.8,23.2,29.7,0.0,0.0,0.0,1027912.1,428.82040815605075,2034.0199180765464,510.4989258014777,265.1175845467322,1,815734.8,265.04471830985915,12.899999999999999
